artist,song_or_album,link
Doechii,"Alligator Bites Never Heal
Album wydany w 2024 roku, zdobył średnią ocenę 79 na Metacritic.","https://spotify.com/Doechii/Alligator_Bites_Never_Heal
Album_wydany_w_2024_roku,_zdobył_średnią_ocenę_79_na_Metacritic."
Geordie Greep,"Live at TV Eye
Album koncertowy wydany w 2024 roku, zyskał uznanie krytyków za energetyczne wykonania na żywo.","https://spotify.com/Geordie_Greep/Live_at_TV_Eye
Album_koncertowy_wydany_w_2024_roku,_zyskał_uznanie_krytyków_za_energetyczne_wykonania_na_żywo."
Kendrick Lamar,"GNX
Najnowszy album Kendricka Lamara z 2024 roku, osiągnął średnią ocenę 87 na Metacritic, plasując się na szczycie listy najlepszych albumów hip-hopowych roku.","https://spotify.com/Kendrick_Lamar/GNX
Najnowszy_album_Kendricka_Lamara_z_2024_roku,_osiągnął_średnią_ocenę_87_na_Metacritic,_plasując_się_na_szczycie_listy_najlepszych_albumów_hip-hopowych_roku."
Cindy Lee,"Diamond Jubilee
Podwójny album wydany w 2024 roku, zawierający 32 utwory, dostępny cyfrowo na stronie artysty.","https://spotify.com/Cindy_Lee/Diamond_Jubilee
Podwójny_album_wydany_w_2024_roku,_zawierający_32_utwory,_dostępny_cyfrowo_na_stronie_artysty."
The The,"Ensoulment
Pierwszy album studyjny zespołu od prawie 25 lat, wydany w 2024 roku, zawiera utwór ""Cognitive Dissident"".","https://spotify.com/The_The/Ensoulment
Pierwszy_album_studyjny_zespołu_od_prawie_25_lat,_wydany_w_2024_roku,_zawiera_utwór_""Cognitive_Dissident""."
Redman,"Muddy Waters
Klasyczny album hip-hopowy wydany w 1996 roku, uważany za jedno z najlepszych dzieł Redmana.","https://spotify.com/Redman/Muddy_Waters
Klasyczny_album_hip-hopowy_wydany_w_1996_roku,_uważany_za_jedno_z_najlepszych_dzieł_Redmana."
Charles Lloyd,"The Sky Will Still Be There Tomorrow
Nowy podwójny album jazzowego saksofonisty Charlesa Lloyda, wydany w 2024 roku, z udziałem Jasona Morana, Larry'ego Grenadiera i Briana Blade'a.","https://spotify.com/Charles_Lloyd/The_Sky_Will_Still_Be_There_Tomorrow
Nowy_podwójny_album_jazzowego_saksofonisty_Charlesa_Lloyda,_wydany_w_2024_roku,_z_udziałem_Jasona_Morana,_Larry'ego_Grenadiera_i_Briana_Blade'a."
Common & Pete Rock,"The Auditorium Vol. 1
Wspólny album rapera Common i producenta Pete Rocka, wydany w 2024 roku, zdobył średnią ocenę 78 na Metacritic.","https://spotify.com/Common_&_Pete_Rock/The_Auditorium_Vol._1
Wspólny_album_rapera_Common_i_producenta_Pete_Rocka,_wydany_w_2024_roku,_zdobył_średnią_ocenę_78_na_Metacritic."
Charli XCX,"BRAT
Album studyjny wydany w 2024 roku, dostępny na winylu i CD.","https://spotify.com/Charli_XCX/BRAT
Album_studyjny_wydany_w_2024_roku,_dostępny_na_winylu_i_CD."
Joel Ross,"Nublues
Album jazzowego wibrafonisty Joela Rossa, wydany w 2024 roku przez Blue Note Records.","https://spotify.com/Joel_Ross/Nublues
Album_jazzowego_wibrafonisty_Joela_Rossa,_wydany_w_2024_roku_przez_Blue_Note_Records."
Bilal,"Adjust Brightness
Najnowszy album Bilala, wydany w 2024 roku, eksplorujący nowe brzmienia i zdobywający uznanie krytyków.","https://spotify.com/Bilal/Adjust_Brightness
Najnowszy_album_Bilala,_wydany_w_2024_roku,_eksplorujący_nowe_brzmienia_i_zdobywający_uznanie_krytyków."
Matthew Shipp Trio,"New Concepts in Piano Trio Jazz
Innowacyjny album jazzowy z 2024 roku, prezentujący nowatorskie podejście do formatu tria fortepianowego.","https://spotify.com/Matthew_Shipp_Trio/New_Concepts_in_Piano_Trio_Jazz
Innowacyjny_album_jazzowy_z_2024_roku,_prezentujący_nowatorskie_podejście_do_formatu_tria_fortepianowego."
Beth Gibbons,"Lives Outgrown
Solowy album wokalistki Portishead, wydany w 2024 roku, charakteryzujący się głębokimi tekstami i unikalnym brzmieniem.","https://spotify.com/Beth_Gibbons/Lives_Outgrown
Solowy_album_wokalistki_Portishead,_wydany_w_2024_roku,_charakteryzujący_się_głębokimi_tekstami_i_unikalnym_brzmieniem."
xaviersobased,"keep it goin xav
Debiutancki mixtape artysty, wydany w 2024 roku, łączący elementy hip-hopu i muzyki elektronicznej.","https://spotify.com/xaviersobased/keep_it_goin_xav
Debiutancki_mixtape_artysty,_wydany_w_2024_roku,_łączący_elementy_hip-hopu_i_muzyki_elektronicznej."
Mary Halvorson,"Cloudward
Album jazzowej gitarzystki, wydany w 2024 roku, prezentujący eksperymentalne kompozycje i unikalne aranżacje.","https://spotify.com/Mary_Halvorson/Cloudward
Album_jazzowej_gitarzystki,_wydany_w_2024_roku,_prezentujący_eksperymentalne_kompozycje_i_unikalne_aranżacje."
Tierra Whack,"WORLD WIDE WHACK
Najnowszy album artystki, wydany w 2024 roku, prezentujący jej unikalny styl i kreatywność.","https://spotify.com/Tierra_Whack/WORLD_WIDE_WHACK
Najnowszy_album_artystki,_wydany_w_2024_roku,_prezentujący_jej_unikalny_styl_i_kreatywność."
Hiatus Kaiyote,"Love Heart Cheat Code
Album australijskiego zespołu neo-soul, wydany w 2024 roku, łączący różnorodne brzmienia i innowacyjne kompozycje.","https://spotify.com/Hiatus_Kaiyote/Love_Heart_Cheat_Code
Album_australijskiego_zespołu_neo-soul,_wydany_w_2024_roku,_łączący_różnorodne_brzmienia_i_innowacyjne_kompozycje."
Milton Nascimento & Esperanza Spalding,"Milton + Esperanza
Wspólny projekt dwóch wybitnych muzyków, wydany w 2024 roku, łączący elementy jazzu i muzyki latynoskiej.","https://spotify.com/Milton_Nascimento_&_Esperanza_Spalding/Milton_+_Esperanza
Wspólny_projekt_dwóch_wybitnych_muzyków,_wydany_w_2024_roku,_łączący_elementy_jazzu_i_muzyki_latynoskiej."
JPEGMAFIA,"I LAY DOWN MY LIFE FOR YOU
Eksperymentalny album rapera, wydany w 2024 roku, zdobywający uznanie za innowacyjne podejście do gatunku.","https://spotify.com/JPEGMAFIA/I_LAY_DOWN_MY_LIFE_FOR_YOU
Eksperymentalny_album_rapera,_wydany_w_2024_roku,_zdobywający_uznanie_za_innowacyjne_podejście_do_gatunku."
Amaro Freitas,"Y'Y
Album brazylijskiego pianisty jazzowego, wydany w 2024 roku, prezentujący nowoczesne interpretacje tradycyjnych rytmów.","https://spotify.com/Amaro_Freitas/Y'Y
Album_brazylijskiego_pianisty_jazzowego,_wydany_w_2024_roku,_prezentujący_nowoczesne_interpretacje_tradycyjnych_rytmów."
Liniker,"CAJU
Najnowszy album brazylijskiej artystki Liniker, wydany w 2024 roku, łączący elementy soul, R&B i muzyki latynoskiej.","https://spotify.com/Liniker/CAJU
Najnowszy_album_brazylijskiej_artystki_Liniker,_wydany_w_2024_roku,_łączący_elementy_soul,_R&B_i_muzyki_latynoskiej."
Leon Bridges,"Leon
Album amerykańskiego wokalisty soulowego, wydany w 2024 roku, prezentujący nowoczesne podejście do klasycznego brzmienia soul.","https://spotify.com/Leon_Bridges/Leon
Album_amerykańskiego_wokalisty_soulowego,_wydany_w_2024_roku,_prezentujący_nowoczesne_podejście_do_klasycznego_brzmienia_soul."
"Wadada Leo Smith, Amina Claudine Myers","Central Park’s Mosaics of Reservoir, Lake, Paths and Gardens
Innowacyjny album jazzowy z 2024 roku, inspirowany pejzażami Central Parku, łączący trąbkę i fortepian w unikalnych kompozycjach.","https://spotify.com/Wadada_Leo_Smith,_Amina_Claudine_Myers/Central_Park’s_Mosaics_of_Reservoir,_Lake,_Paths_and_Gardens
Innowacyjny_album_jazzowy_z_2024_roku,_inspirowany_pejzażami_Central_Parku,_łączący_trąbkę_i_fortepian_w_unikalnych_kompozycjach."
Yaya Bey,"Ten Fold
Album R&B wydany w 2024 roku, charakteryzujący się introspektywnymi tekstami i nowoczesną produkcją.","https://spotify.com/Yaya_Bey/Ten_Fold
Album_R&B_wydany_w_2024_roku,_charakteryzujący_się_introspektywnymi_tekstami_i_nowoczesną_produkcją."
Michael Kiwanuka,"Small Changes
Najnowszy album brytyjskiego muzyka, wydany w 2024 roku, kontynuujący jego charakterystyczne brzmienie łączące soul i folk.","https://spotify.com/Michael_Kiwanuka/Small_Changes
Najnowszy_album_brytyjskiego_muzyka,_wydany_w_2024_roku,_kontynuujący_jego_charakterystyczne_brzmienie_łączące_soul_i_folk."
Billie Eilish,"HIT ME HARD AND SOFT
Najnowszy album Billie Eilish, wydany w 2024 roku, prezentujący jej rozwój artystyczny i eksperymenty z nowymi brzmieniami.","https://spotify.com/Billie_Eilish/HIT_ME_HARD_AND_SOFT
Najnowszy_album_Billie_Eilish,_wydany_w_2024_roku,_prezentujący_jej_rozwój_artystyczny_i_eksperymenty_z_nowymi_brzmieniami."
Beyoncé,"COWBOY CARTER
Album wydany w 2024 roku, łączący elementy muzyki country z charakterystycznym stylem Beyoncé, zdobywający uznanie krytyków za innowacyjność.","https://spotify.com/Beyoncé/COWBOY_CARTER
Album_wydany_w_2024_roku,_łączący_elementy_muzyki_country_z_charakterystycznym_stylem_Beyoncé,_zdobywający_uznanie_krytyków_za_innowacyjność."
Cruza,"Cruzafied
Debiutancki album zespołu Cruza, wydany w 2024 roku, oferujący świeże podejście do muzyki alternatywnej z wpływami różnych gatunków.","https://spotify.com/Cruza/Cruzafied
Debiutancki_album_zespołu_Cruza,_wydany_w_2024_roku,_oferujący_świeże_podejście_do_muzyki_alternatywnej_z_wpływami_różnych_gatunków."
"Vijay Iyer, Linda May Han Oh & Tyshawn Sorey","Compassion
Wspólny projekt trzech wybitnych muzyków jazzowych, wydany w 2024 roku, eksplorujący głębokie emocje i złożone kompozycje.","https://spotify.com/Vijay_Iyer,_Linda_May_Han_Oh_&_Tyshawn_Sorey/Compassion
Wspólny_projekt_trzech_wybitnych_muzyków_jazzowych,_wydany_w_2024_roku,_eksplorujący_głębokie_emocje_i_złożone_kompozycje."
Akua Naru,"All About Love: New Visions
Album wydany w 2024 roku, w którym Akua Naru łączy poezję z muzyką, eksplorując tematy miłości i społecznej świadomości.","https://spotify.com/Akua_Naru/All_About_Love:_New_Visions
Album_wydany_w_2024_roku,_w_którym_Akua_Naru_łączy_poezję_z_muzyką,_eksplorując_tematy_miłości_i_społecznej_świadomości."
Kaytranada,"Timeless
Najnowszy album producenta Kaytranada, wydany w 2024 roku, prezentujący unikalne brzmienia elektroniczne i współpracę z różnorodnymi artystami.","https://spotify.com/Kaytranada/Timeless
Najnowszy_album_producenta_Kaytranada,_wydany_w_2024_roku,_prezentujący_unikalne_brzmienia_elektroniczne_i_współpracę_z_różnorodnymi_artystami."
Meshell Ndegeocello,"No More Water: The Gospel of James Baldwin
Album inspirowany twórczością Jamesa Baldwina, wydany w 2024 roku, łączący elementy jazzu, soulu i spoken word.","https://spotify.com/Meshell_Ndegeocello/No_More_Water:_The_Gospel_of_James_Baldwin
Album_inspirowany_twórczością_Jamesa_Baldwina,_wydany_w_2024_roku,_łączący_elementy_jazzu,_soulu_i_spoken_word."
Little Simz,"Drop 7
EP-ka wydana w 2024 roku, ukazująca wszechstronność i głębię liryczną brytyjskiej raperki Little Simz.","https://spotify.com/Little_Simz/Drop_7
EP-ka_wydana_w_2024_roku,_ukazująca_wszechstronność_i_głębię_liryczną_brytyjskiej_raperki_Little_Simz."
"Tyler, The Creator","CHROMAKOPIA
Album wydany w 2024 roku, prezentujący ewolucję artystyczną Tylera, łączący różnorodne gatunki i eksperymentalne brzmienia.","https://spotify.com/Tyler,_The_Creator/CHROMAKOPIA
Album_wydany_w_2024_roku,_prezentujący_ewolucję_artystyczną_Tylera,_łączący_różnorodne_gatunki_i_eksperymentalne_brzmienia."
Tems,"Born in the Wild
Debiutancki album nigeryjskiej artystki Tems, wydany w 2024 roku, łączący afrykańskie rytmy z nowoczesnym R&B.","https://spotify.com/Tems/Born_in_the_Wild
Debiutancki_album_nigeryjskiej_artystki_Tems,_wydany_w_2024_roku,_łączący_afrykańskie_rytmy_z_nowoczesnym_R&B."
Snoop Dogg,"Missionary
Album wydany w 2024 roku, nawiązujący do korzeni hip-hopu, z charakterystycznym stylem Snoop Dogga i gościnnym udziałem Dr. Dre.","https://spotify.com/Snoop_Dogg/Missionary
Album_wydany_w_2024_roku,_nawiązujący_do_korzeni_hip-hopu,_z_charakterystycznym_stylem_Snoop_Dogga_i_gościnnym_udziałem_Dr._Dre."
Sault,"Acts of Faith
Tajemniczy kolektyw Sault powraca z albumem wydanym w 2024 roku, eksplorującym tematy duchowości i społecznej sprawiedliwości.","https://spotify.com/Sault/Acts_of_Faith
Tajemniczy_kolektyw_Sault_powraca_z_albumem_wydanym_w_2024_roku,_eksplorującym_tematy_duchowości_i_społecznej_sprawiedliwości."
Terrace Martin,"Nintindo Soul
Album wydany w 2024 roku, łączący jazz, funk i elementy muzyki elektronicznej, ukazujący wszechstronność Terrace'a Martina.","https://spotify.com/Terrace_Martin/Nintindo_Soul
Album_wydany_w_2024_roku,_łączący_jazz,_funk_i_elementy_muzyki_elektronicznej,_ukazujący_wszechstronność_Terrace'a_Martina."
Vince Staples,"Dark Times
Najnowszy album rapera Vince'a Staplesa, wydany w 2024 roku, poruszający mroczne i introspektywne tematy.","https://spotify.com/Vince_Staples/Dark_Times
Najnowszy_album_rapera_Vince'a_Staplesa,_wydany_w_2024_roku,_poruszający_mroczne_i_introspektywne_tematy."
Arooj Aftab,"Night Reign
Album wydany w 2024 roku, prezentujący eteryczne kompozycje łączące tradycyjne brzmienia z nowoczesną produkcją.","https://spotify.com/Arooj_Aftab/Night_Reign
Album_wydany_w_2024_roku,_prezentujący_eteryczne_kompozycje_łączące_tradycyjne_brzmienia_z_nowoczesną_produkcją."
Louis Cole,"Nothing
Album wydany w 2024 roku, ukazujący unikalne podejście Louisa Cole'a do muzyki funk i jazz, z charakterystycznym poczuciem humoru.","https://spotify.com/Louis_Cole/Nothing
Album_wydany_w_2024_roku,_ukazujący_unikalne_podejście_Louisa_Cole'a_do_muzyki_funk_i_jazz,_z_charakterystycznym_poczuciem_humoru."
NxWorries,"Why Lawd?
Wspólny projekt Andersona .Paaka i producenta Knxwledge, wydany w 2024 roku, łączący hip-hop z soulowymi melodiami.","https://spotify.com/NxWorries/Why_Lawd?
Wspólny_projekt_Andersona_.Paaka_i_producenta_Knxwledge,_wydany_w_2024_roku,_łączący_hip-hop_z_soulowymi_melodiami."
Kamasi Washington,"Fearless Movement
Album jazzowego saksofonisty Kamasi Washingtona, wydany w 2024 roku, prezentujący epickie kompozycje i bogate aranżacje.","https://spotify.com/Kamasi_Washington/Fearless_Movement
Album_jazzowego_saksofonisty_Kamasi_Washingtona,_wydany_w_2024_roku,_prezentujący_epickie_kompozycje_i_bogate_aranżacje."
Mach Hommy,#RICHAXXHAITIAN,https://spotify.com/Mach_Hommy/#RICHAXXHAITIAN
Shabaka,"Perceive Its Beauty, Acknowledge Its Grace
Solowy album Shabaki Hutchingsa, znanego z projektów takich jak Sons of Kemet i The Comet Is Coming. Wydany w 2024 roku przez wytwórnię Impulse!, album skupia się na brzmieniach fletu i innych instrumentów dętych drewnianych.","https://spotify.com/Shabaka/Perceive_Its_Beauty,_Acknowledge_Its_Grace
Solowy_album_Shabaki_Hutchingsa,_znanego_z_projektów_takich_jak_Sons_of_Kemet_i_The_Comet_Is_Coming._Wydany_w_2024_roku_przez_wytwórnię_Impulse!,_album_skupia_się_na_brzmieniach_fletu_i_innych_instrumentów_dętych_drewnianych."
Jordan Rakei,"The Loop
Najnowszy album nowozelandzkiego artysty Jordana Rakei, wydany w 2024 roku. Album prezentuje ewolucję jego brzmienia, łącząc elementy jazzu, soulu i R&B.","https://spotify.com/Jordan_Rakei/The_Loop
Najnowszy_album_nowozelandzkiego_artysty_Jordana_Rakei,_wydany_w_2024_roku._Album_prezentuje_ewolucję_jego_brzmienia,_łącząc_elementy_jazzu,_soulu_i_R&B."
Helado Negro,"PHASOR
Album amerykańskiego muzyka Helado Negro, wydany w 2024 roku. PHASOR to kontynuacja jego eksperymentalnego podejścia do muzyki elektronicznej i latynoskiej.","https://spotify.com/Helado_Negro/PHASOR
Album_amerykańskiego_muzyka_Helado_Negro,_wydany_w_2024_roku._PHASOR_to_kontynuacja_jego_eksperymentalnego_podejścia_do_muzyki_elektronicznej_i_latynoskiej."
Pale Jay,"Low End Love Songs
Debiutancki album Pale Jay, wydany w 2024 roku. Album łączy elementy R&B i neo-soulu, zdobywając uznanie krytyków za świeże podejście do gatunku.","https://spotify.com/Pale_Jay/Low_End_Love_Songs
Debiutancki_album_Pale_Jay,_wydany_w_2024_roku._Album_łączy_elementy_R&B_i_neo-soulu,_zdobywając_uznanie_krytyków_za_świeże_podejście_do_gatunku."
Tyla,"Tyla
Debiutancki album południowoafrykańskiej artystki Tyli, wydany w 2024 roku. Album prezentuje mieszankę afropopu i R&B, ukazując unikalny styl wokalistki.","https://spotify.com/Tyla/Tyla
Debiutancki_album_południowoafrykańskiej_artystki_Tyli,_wydany_w_2024_roku._Album_prezentuje_mieszankę_afropopu_i_R&B,_ukazując_unikalny_styl_wokalistki."
Khruangbin,"A LA SALA
Najnowszy album teksańskiego trio Khruangbin, wydany w 2024 roku. A LA SALA kontynuuje ich charakterystyczne brzmienie, łącząc wpływy muzyki z różnych zakątków świata.","https://spotify.com/Khruangbin/A_LA_SALA
Najnowszy_album_teksańskiego_trio_Khruangbin,_wydany_w_2024_roku._A_LA_SALA_kontynuuje_ich_charakterystyczne_brzmienie,_łącząc_wpływy_muzyki_z_różnych_zakątków_świata."
